era,validator,commission
1038,16GDRhRYxk42paoK6TfHAqWej8PdDDUwdDazjv4bAn4KGNeb,3.0
1038,14abtGtqVsnnKgSv4Cw6rm8DWn6aFej8Ko2tEjUXQbg7kURB,100.0
1038,1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih,1.0
1038,1cHUWUV3Eb6WucnFNxED3udYg94eSN5KUWvZbWmtVLFm1fJ,100.0
1038,129TM37DNpyJqtRYYimSMp8aQZ8QW7Jg3b4qtSrRqjgAChQf,2.5
1038,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,3.0
1038,1nQBeeXXhZ3gPH95X1KcLfN5JwPCpFUXR5Sc4A5gr8nCALw,100.0
1038,13BjZTpwEtPMcHrEbqxpgS8mz44cwv31UgyXoVM2uggSHKAT,100.0
1038,16ky64Ktu3NWtjrVUZV2RDVe46GvhnUGrxqFrYAQZeB7LHHR,100.0
1038,15wffJpUgdBqtdsaRQKAEvARhrLsEDSoGzYseGUnGrtFHddN,100.0
1038,1zugcaiwmKdWsfuubmCMBgKKMLSef2TEC3Gfvv5GxLGTKMN,10.0
1038,1YguHoyxTecVDPRksktGPPTXDMLbCoDaGprv1zcQNNWyC3X,100.0
1038,14zy72LYvcMiUzsacFSR1xzQsG84Pujby98LvWSVtzSiS3ti,100.0
1038,13dVcF8BjzUpYujj5HxumDLPwpHzMPwzPZAZHJQEbKRJuNgT,2.5
1038,13VS9jM2pkKNwd8LFpQNNRPBKUonU9jzGZ5fTEZiuB4nYF6Y,5.0
1038,1jeB5w8XyBADtgmVmwk2stWpTyfTVWEgLo85tF7gYVxnmSw,8.0
1038,148CkH8YBzA1pbudK1bMo2zUMHZwbucBVH8s3utwTS687UiR,1.0
1038,14XefeqDxiaVQEo7Xv7WBs3Wz8GZPes7DBjQxsNuxu683B9o,8.0
1038,13mscy5wfYAmDBgLoA43rkWGpR1PJApcGtXJt8NvtMcM9VAr,3.0
1038,12VYdJfVizmqvYG45qrA2YHjcjPehGJvwy2PRCZG1RnzPtAL,100.0
