date,metric_name,chain_name,sum_of_usdt
2023-01-07,sum of usdt,statemint,7998767.994702
2023-01-06,sum of usdt,statemine,3499999.679
2023-01-06,sum of usdt,statemint,7998767.994702
2023-01-05,sum of usdt,statemine,3499999.679
2023-01-05,sum of usdt,statemint,7998767.994702
2023-01-04,sum of usdt,statemine,3499999.679
2023-01-04,sum of usdt,statemint,7998769.044702
2023-01-03,sum of usdt,statemine,3499999.679
2023-01-03,sum of usdt,statemint,7998769.044702
2023-01-02,sum of usdt,statemine,3499999.679
2023-01-02,sum of usdt,statemint,7998769.044702
2023-01-01,sum of usdt,statemine,3499999.679
2023-01-01,sum of usdt,statemint,7998769.044702
2022-12-31,sum of usdt,statemine,3499999.679
2022-12-31,sum of usdt,statemint,7998769.044702
2022-12-30,sum of usdt,statemine,3499999.679
2022-12-30,sum of usdt,statemint,7998769.044702
2022-12-29,sum of usdt,statemine,3499999.679
2022-12-29,sum of usdt,statemint,7998769.058652
2022-12-28,sum of usdt,statemine,3499999.679
2022-12-28,sum of usdt,statemint,7998769.458652
2022-12-27,sum of usdt,statemine,3499999.679
2022-12-27,sum of usdt,statemint,7998769.670842
2022-12-26,sum of usdt,statemine,3499999.679
2022-12-26,sum of usdt,statemint,7998770.679162
2022-12-25,sum of usdt,statemine,3499999.679
2022-12-25,sum of usdt,statemint,7998770.679162
2022-12-24,sum of usdt,statemine,3499999.679
2022-12-24,sum of usdt,statemint,7998770.679162
2022-12-23,sum of usdt,statemine,3499999.679
2022-12-23,sum of usdt,statemint,7998771.679162
2022-12-22,sum of usdt,statemine,3499999.679
2022-12-22,sum of usdt,statemint,7998771.739307
2022-12-21,sum of usdt,statemine,3499999.68
2022-12-21,sum of usdt,statemint,7998771.739307
2022-12-20,sum of usdt,statemine,3499999.68
2022-12-20,sum of usdt,statemint,7998771.87167
2022-12-19,sum of usdt,statemine,3499999.68
2022-12-19,sum of usdt,statemint,7998771.907754
2022-12-18,sum of usdt,statemine,3499999.68
2022-12-18,sum of usdt,statemint,7998771.907754
2022-12-17,sum of usdt,statemine,3499999.68
2022-12-17,sum of usdt,statemint,7998771.9316
2022-12-16,sum of usdt,statemine,3499999.68
2022-12-16,sum of usdt,statemint,7998771.9316
2022-12-15,sum of usdt,statemine,3499999.68
2022-12-15,sum of usdt,statemint,7998771.9316
2022-12-14,sum of usdt,statemine,3499999.68
2022-12-14,sum of usdt,statemint,7998771.9316
2022-12-13,sum of usdt,statemine,3499999.68
2022-12-13,sum of usdt,statemint,7998771.9416
2022-12-12,sum of usdt,statemine,3499999.68
2022-12-12,sum of usdt,statemint,7998772.1916
2022-12-11,sum of usdt,statemine,3499999.68
2022-12-11,sum of usdt,statemint,7998772.1916
2022-12-10,sum of usdt,statemine,3499999.68
2022-12-10,sum of usdt,statemint,7998772.1916
2022-12-09,sum of usdt,statemine,3499999.68
2022-12-09,sum of usdt,statemint,7998772.1916
2022-12-08,sum of usdt,statemine,3499999.68
2022-12-08,sum of usdt,statemint,7998772.1916
2022-12-07,sum of usdt,statemine,3499999.68
2022-12-07,sum of usdt,statemint,7998772.1916
2022-12-06,sum of usdt,statemine,3499999.68
2022-12-06,sum of usdt,statemint,7998772.1916
2022-12-05,sum of usdt,statemine,3499999.68
2022-12-05,sum of usdt,statemint,7998772.2916
2022-12-04,sum of usdt,statemine,3499999.68
2022-12-04,sum of usdt,statemint,7998772.2916
2022-12-03,sum of usdt,statemine,3499999.68
2022-12-03,sum of usdt,statemint,7998772.2916
2022-12-02,sum of usdt,statemine,3499999.68
2022-12-02,sum of usdt,statemint,7998773.2916
2022-12-01,sum of usdt,statemine,3499999.68
2022-12-01,sum of usdt,statemint,7998773.2916
2022-11-30,sum of usdt,statemine,3499999.68
2022-11-30,sum of usdt,statemint,7998773.2916
2022-11-29,sum of usdt,statemine,3499999.68
2022-11-29,sum of usdt,statemint,7998773.2916
2022-11-28,sum of usdt,statemine,3499999.68
2022-11-28,sum of usdt,statemint,7998773.2916
2022-11-27,sum of usdt,statemine,3499999.68
2022-11-27,sum of usdt,statemint,7998773.2916
2022-11-26,sum of usdt,statemine,3499999.68
2022-11-26,sum of usdt,statemint,7998773.2916
2022-11-25,sum of usdt,statemine,3499999.68
2022-11-25,sum of usdt,statemint,7998773.2916
2022-11-24,sum of usdt,statemine,3499999.68
2022-11-24,sum of usdt,statemint,7998773.2916
2022-11-23,sum of usdt,statemine,3499999.68
2022-11-23,sum of usdt,statemint,7998773.2916
2022-11-22,sum of usdt,statemine,3499999.68
2022-11-22,sum of usdt,statemint,7998773.2916
2022-11-21,sum of usdt,statemine,3499999.68
2022-11-21,sum of usdt,statemint,7998775.8916
2022-11-20,sum of usdt,statemine,3499999.68
2022-11-20,sum of usdt,statemint,7998775.8916
2022-11-19,sum of usdt,statemine,3499999.68
2022-11-19,sum of usdt,statemint,7998775.8916
2022-11-18,sum of usdt,statemine,3499999.68
2022-11-18,sum of usdt,statemint,7998775.8916
2022-11-17,sum of usdt,statemine,3499999.68
2022-11-17,sum of usdt,statemint,7998775.8916
2022-11-16,sum of usdt,statemine,3499999.68
2022-11-16,sum of usdt,statemint,7998775.8916
2022-11-15,sum of usdt,statemine,3499999.68
2022-11-15,sum of usdt,statemint,7998775.8916
2022-11-14,sum of usdt,statemine,3499999.68
2022-11-14,sum of usdt,statemint,7998775.8916
2022-11-13,sum of usdt,statemine,3499999.68
2022-11-13,sum of usdt,statemint,7998775.8916
2022-11-12,sum of usdt,statemine,3499999.68
2022-11-12,sum of usdt,statemint,7998775.8916
2022-11-11,sum of usdt,statemine,3499999.68
2022-11-11,sum of usdt,statemint,7998775.8916
2022-11-10,sum of usdt,statemine,3499999.68
2022-11-10,sum of usdt,statemint,7998775.8916
2022-11-09,sum of usdt,statemine,3499999.68
2022-11-09,sum of usdt,statemint,7998775.9116
2022-11-08,sum of usdt,statemine,3499999.68
2022-11-08,sum of usdt,statemint,7998775.9316
2022-11-07,sum of usdt,statemine,3499999.68
2022-11-07,sum of usdt,statemint,2998775.9316
2022-11-06,sum of usdt,statemine,3499999.68
2022-11-06,sum of usdt,statemint,2998775.9316
2022-11-05,sum of usdt,statemine,3499999.68
2022-11-05,sum of usdt,statemint,2998775.9316
2022-11-04,sum of usdt,statemine,3499999.68
2022-11-04,sum of usdt,statemint,2998775.9316
2022-11-03,sum of usdt,statemine,3499999.68
2022-11-03,sum of usdt,statemint,2998775.9316
2022-11-02,sum of usdt,statemine,3499999.68
2022-11-02,sum of usdt,statemint,2998775.9316
2022-11-01,sum of usdt,statemine,3499999.68
2022-11-01,sum of usdt,statemint,2998775.9316
2022-10-31,sum of usdt,statemine,3499999.68
2022-10-31,sum of usdt,statemint,2998775.9316
2022-10-30,sum of usdt,statemine,3499999.68
2022-10-30,sum of usdt,statemint,2998775.9316
2022-10-29,sum of usdt,statemine,3499999.68
2022-10-29,sum of usdt,statemint,2998775.9316
2022-10-28,sum of usdt,statemine,3499999.68
2022-10-28,sum of usdt,statemint,2998775.9316
2022-10-27,sum of usdt,statemine,3499999.68
2022-10-27,sum of usdt,statemint,2998775.9316
2022-10-26,sum of usdt,statemine,3499999.68
2022-10-26,sum of usdt,statemint,2998775.9316
2022-10-25,sum of usdt,statemine,3499999.68
2022-10-25,sum of usdt,statemint,2998775.9316
2022-10-24,sum of usdt,statemine,3499999.68
2022-10-24,sum of usdt,statemint,2998777.6616
2022-10-23,sum of usdt,statemine,3499999.68
2022-10-23,sum of usdt,statemint,2998778.8816
2022-10-22,sum of usdt,statemine,3499999.68
2022-10-22,sum of usdt,statemint,2999978.8816
